GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
retina_horizontal_cell,2361,11478,0.004119914715827106,1,2361,9.72299872935197,0.17647920586603222,False
intrahepatic_cholangiocyte,2844,16123,0.003988130839780684,1,2844,11.338255977496484,0.1760645249919774,False
pancreatic_stellate_cell,3110,25114,0.005194751468353985,1,3110,16.15048231511254,0.21010639860936883,False
langerhans_cell,3065,32454,0.00691160623394767,1,3065,21.17716150081566,0.21236013552137056,False
type_i_pneumocyte,2975,17100,0.0038654331941249936,1,2975,11.495798319327731,0.16601773307354134,False
cd24_neutrophil,1837,7277,0.0043151961080809265,1,1837,7.922700054436581,0.15372210201807365,False
luminal_epithelial_cell_of_mammary_gland,3094,31891,0.006664965471378434,1,3094,20.6147382029735,0.2003418402766564,False
immune_cell,1435,6447,0.006265945504643331,1,1435,8.985365853658537,0.16818132248800463,False
dn4_thymocyte,3443,50853,0.008582201075606165,1,3443,29.53993610223642,0.26238041092627945,False
mucus_secreting_cell,2833,16017,0.0039927429149192025,1,2833,11.307447935051183,0.16193747592368826,False
ciliated_cell,2576,13643,0.004113550021105952,1,2576,10.592391304347826,0.175556867771746,False
muscle_cell,2206,21898,0.009003686092146137,1,2206,19.85312783318223,0.20165016939270977,False
cd1c-positive_myeloid_dendritic_cell,3049,31128,0.006698982240207839,1,3049,20.418497868153494,0.2043627252328466,False
regulatory_t_cell,2246,15626,0.006198002090328364,1,2246,13.914514692787177,0.20801929501442756,False
enterocyte_of_epithelium_of_small_intestine,1943,7433,0.003939781189227696,1,1943,7.6510550694801855,0.1503126496170368,False
basal_cell,3182,35954,0.007104170326208152,1,3182,22.598365807668134,0.23471022910288278,False
smooth_muscle_cell,3186,24183,0.004766339391036728,1,3186,15.180790960451978,0.20113664269299072,False
duodenum_glandular_cell,2850,17490,0.0043080674659622025,1,2850,12.273684210526316,0.17011267402936642,False
lung_ciliated_cell,2627,15103,0.004378631766722689,1,2627,11.49828701941378,0.18887385624469796,False
medullary_thymic_epithelial_cell,3299,40121,0.00737511468182927,1,3299,24.32312822067293,0.23455236411626973,False
