MRPL6 RPL25
rpsD rsgA
rpsD smrB
rpsD typA
rpsD vmlR
rpsE rpsG
rpsE rpsH
rpsE rpsK
rpsE rpsL
rpsE rpsM
rpsE rpsN
rpsE rpsO
rpsE rpsQ
rpsE rpsS
rpsE rsgA
rpsE smrB
rpsE typA
rpsE vmlR
rpsG rpsH
rpsG rpsK
rpsG rpsL
rpsG rpsM
rpsG rpsN
rpsG rpsO
rpsG rpsQ
rpsG rpsS
rpsG rsgA
rpsG smrB
rpsG vmlR
rpsH rpsK
rpsH rpsL
rpsH rpsM
rpsH rpsN
rpsH rpsO
rpsH rpsQ
rpsH rpsS
rpsH rsgA
rpsH vmlR
rpsK rpsL
rpsK rpsM
rpsK rpsN
rpsK rpsO
rpsK rpsQ
rpsK rpsS
rpsK rsgA
rpsK smrB
rpsK typA
rpsK vmlR
rpsL rpsM
rpsL rpsN
rpsL rpsO
rpsL rpsQ
rpsL rpsS
rpsL rsgA
rpsL smrB
rpsL vmlR
rpsM rpsN
rpsM rpsO
rpsM rpsQ
rpsM rpsS
rpsM rsgA
rpsM smrB
rpsM vmlR
rpsN rpsO
rpsN rpsQ
rpsN rpsS
rpsN rsgA
rpsN smrB
rpsO rpsQ
rpsO rpsS
rpsO rsgA
rpsO smrB
rpsO vmlR
rpsQ rpsS
rpsQ rsgA
rpsQ smrB
rpsQ vmlR
rpsS rsgA
rpsS smrB
rpsS vmlR
