spoIIIAD spoIIIAG
spoIIIAD spoIIIAH
spoIIIAD spoIIP
spoIIIAD spoIIQ
spoIIIAD spoIVB
spoIIIAD spoVAB
spoIIIAD spoVAC
spoIIIAD spoVAE
spoIIIAD ylbJ
spoIIIAD ypeB
spoIIIAD yqfD
spoIIIAD yqhV
spoIIIAD ytrH
spoIIIAD yunB
spoIIIAE spoIIIAF
spoIIIAE spoIIIAG
spoIIIAE spoIIIAH
spoIIIAE spoIIP
spoIIIAE spoIIQ
spoIIIAE spoIVB
spoIIIAE spoIVFB
spoIIIAE spoVAA
spoIIIAE spoVAC
spoIIIAE spoVAE
spoIIIAE yabQ
spoIIIAE ykvU
spoIIIAE ylbJ
spoIIIAE ypeB
spoIIIAE yqfD
spoIIIAE yqhR
spoIIIAE yqhV
spoIIIAE ytrH
spoIIIAE yunB
spoIIIAF spoIIIAG
spoIIIAF spoIIIAH
spoIIIAF spoIIP
spoIIIAF spoIIQ
spoIIIAF spoIVFB
spoIIIAF spoVAA
spoIIIAF yabQ
spoIIIAF ykvU
spoIIIAF ypeB
spoIIIAF yqfD
spoIIIAF yqfX
spoIIIAF yqhR
spoIIIAF yqhV
spoIIIAF ytrH
spoIIIAF ytrI
spoIIIAG spoIIIAH
spoIIIAG spoIIP
spoIIIAG spoIIQ
spoIIIAG spoIVB
spoIIIAG spoIVFB
spoIIIAG spoVAA
spoIIIAG spoVAC
spoIIIAG yabQ
spoIIIAG ylbJ
spoIIIAG ypeB
spoIIIAG yqfD
spoIIIAG yqhR
spoIIIAG yqhV
spoIIIAG ytrH
spoIIIAH spoIIP
spoIIIAH spoIIQ
spoIIIAH spoIVFB
spoIIIAH ykvU
spoIIIAH yqfD
spoIIIAH yqhV
spoIIIAH ytpI
spoIIIAH ytrH
spoIIIAH yunB
spoIIIE spoIIQ
spoIIP spoIIQ
spoIIP spoIVFB
spoIIP spoVAA
spoIIP spoVAB
spoIIP spoVAC
spoIIP yabQ
spoIIP yjcA
spoIIP ykvU
spoIIP ypeB
spoIIP yphB
spoIIP yqfD
spoIIP yqfX
spoIIP yqhR
spoIIP ytrH
spoIIP yunB
spoIIQ spoIVFB
spoIVB spoVAC
spoIVB spoVAE
spoIVB ylbJ
spoIVB yqfD
spoIVB yunB
spoIVFB yabQ
spoIVFB ykvU
spoIVFB yqfX
spoIVFB yqhR
spoVAA spoVAB
spoVAA spoVAC
spoVAA yabQ
spoVAA ypeB
spoVAA yqfX
spoVAA ytrH
spoVAB spoVAC
spoVAB yabQ
spoVAB yjcA
spoVAB ypeB
spoVAB yqfX
spoVAB ytrH
spoVAC spoVAE
spoVAC ylbJ
spoVAC ypeB
spoVAC yqfD
spoVAC yunB
spoVAC yuzA
spoVAC ywcE
spoVAE ylbJ
spoVAE yqfD
spoVAE yunB
sppA ydbS
sppA ydbT
sppA ydjP
sppA yvlA
ssuA ydfH
thiO thiS
thiO thiV
thiS thiV
tolA ybgE
tuaE ykrP
tuaE yycH
walH yfhP
walH yqgB
walH yrrS
walH ytpI
walH ywzB
walH yybS
wcaD wcaJ
xhlA xhlB
xhlA yplQ
xhlA yxlD
xpaC yrrS
yabQ yjcA
yabQ ylbJ
yabQ ypeB
yabQ ypjB
yabQ yqfD
yabQ yqfX
yabQ yqhR
yabQ ytrH
yabQ ytrI
yacL yqjL
ybaR ybaS
ybdG yclE
ybdG ysdB
ybdO yfmS
ybdO yoyG
ybgE ychH
ybgE ynhF
yceF ycgQ
yceF yqgB
yceF yqgC
ycgQ yqgB
ychH yfhb
yclE yqjL
ycxB ydeK
ydaM yheN
ydaM ylxY
ydbK yneJ
ydbS ydbT
ydbS ydjH
ydbS ydjP
ydbS yknW
ydbS ypjA
ydbS yvlA
ydbT ydcA
ydbT ydjH
ydiK ydiL
ydiL yrrS
ydiL ytrI
ydjH yhfW
ydjJ yerD
ydjJ yxxB
ydjP yvlA
ydjP yvlD
yeaD yebA
yebA yrrS
yesL yesV
yfhO yhaJ
yfhO ykoS
yfhO yrhK
yfhP yhaH
yfhP yhaJ
yfhP ypjA
yfhP yrrS
yfhP ytxG
yfmS ylxF
ygxB ytxH
ygxB ywkF
yhaH yhaJ
yhaH ykrP
yhaH yrrS
yhaH ytxG
yhaH ytxH
yhaJ yneJ
yhaJ yrrS
yhaJ ysdB
yhaJ ytxH
yhaL yqfD
yhbJ yhcB
yhcY yvfT
yhfN ytvB
yhjC yjcL
yhjC yocS
yjcA yjcZ
yjcA yphB
yjcA yqfX
yjcA ytrI
yjcA ywiC
yjcL yocS
yjcZ ykzV
yjkB yjlA
yknW yvlA
ykoN ykoQ
ykoN ykvU
ykoN ywzB
ykoQ ykoS
ykoQ yphB
ykoS yqfX
ykoS yqhR
ykoS ytrI
ykvU yqfD
ykvU yqfX
ykvU ytrI
ylaF ylaH
ylaH yneK
ylaH yqgB
ylaH yqgY
ylaH yqzF
ylaH ytpI
ylaH ytrI
ylaH ytxG
ylaH yuiB
ylbC yqhL
ylbJ yqfD
ylbJ ytvI
ylbJ yunB
ylxF yybS
ylxX yvsG
yncL yohP
yneJ yxiO
yneK yqgY
yneK yqzF
yneK yuiB
yngL yoaK
ynhF yoaJ
ynhF yoaK
ynhF yohP
ynhF ypdK
yoaJ yoaK
yoaJ yohP
yoaJ ypdK
yoaK yohP
yoaK ypdK
yocR yocS
yohP ypdK
ypbD ypbF
ypbD ypbG
ypbD ypeB
ypbD yqfX
ypbD yqgY
ypbD yqhR
ypbD yuiB
ypbF ypbG
ypbG yqjL
ypeB ypfB
ypeB yqfD
ypeB yqfX
ypeB yqhR
ypeB ytrH
yphB ytrH
ypjA ypjB
ypjA ytxG
ypjB ytrH
ypjB ytrI
ypjB ytvI
ypjB yunB
ypmS ypmT
ypmS yrrS
ypmS ysdB
ypmS yshB
yqfD yqhR
yqfD ytrH
yqfD ytrI
yqfD ytvI
yqfD yunB
yqfX yqhR
yqfX ytrH
yqfX ytrI
yqgB yqgC
yqgB yrrS
yqgB ytrI
yqgW yqgY
yqgW yqzF
yqgY yqzF
yqgY ytpI
yqgY yuiB
yqhL ytxG
yqhP yqhQ
yqhP yqhR
yqhQ yqhR
yqhR yqhV
yqhR ytrH
yqhR ytrI
yqzF ytpI
yqzF yuiB
yqzM yufK
yrrI ytvI
yrrS ytpI
yrrS ytxH
yrrS ywzB
ytpI ytrI
ytpI yuiB
ytrH ytrI
ytrH ytvI
ytrH yunB
ytrI ytvI
ytrI yunB
ytvI yunB
ytxG ytxH
yunB yuzA
yvlA yvlD
