NormalizedSubject	TaxID	Source
Klebsiella pneumoniae AKPRH111435	573	json
Klebsiella pneumoniae AKPRH111506	573	json
Klebsiella pneumoniae AKPRH112452	573	json
Klebsiella pneumoniae AKPRH112959	573	json
Klebsiella pneumoniae AKPRH114788	573	json
Klebsiella pneumoniae AKPRH120539	573	json
Klebsiella pneumoniae AKPRH121194	573	json
Klebsiella pneumoniae AKPRH122047	573	json
Klebsiella pneumoniae AKPRH122847	573	json
Klebsiella pneumoniae AKPRH123639	573	json
Klebsiella pneumoniae AKPRH123804	573	json
Klebsiella pneumoniae AKPRH124873	573	json
Klebsiella pneumoniae AKPRH125024	573	json
Klebsiella pneumoniae AKPRH125859	573	json
Klebsiella pneumoniae AKPRH127063	573	json
Klebsiella pneumoniae AKPRH127096	573	json
Klebsiella pneumoniae AKPRH136678	573	json
Klebsiella pneumoniae AMR0155	573	json
Klebsiella pneumoniae AMR0171	573	json
Klebsiella pneumoniae AMR0179	573	json
Klebsiella pneumoniae AMR0201	573	json
Klebsiella pneumoniae AR-0003	573	json
Klebsiella pneumoniae AR-0049	573	json
Klebsiella pneumoniae AR-0139	573	json
Klebsiella pneumoniae AR-0153	573	json
Klebsiella pneumoniae ARC561	573	json
Klebsiella pneumoniae ARC6088	573	json
Klebsiella pneumoniae ATCC 10031	573	json
Klebsiella pneumoniae ATCC 11296	573	json
Klebsiella pneumoniae ATCC 13883	573	json
Klebsiella pneumoniae ATCC 700603	573	json
Klebsiella pneumoniae ATCC BAA 1705	1276652	json
Klebsiella pneumoniae ATCC BAA-1705	1276652	json
Klebsiella pneumoniae B64	573	json
Klebsiella pneumoniae BAA-1705	573	json
Klebsiella pneumoniae BAA-2146	573	json
Klebsiella pneumoniae BKQ2KD	573	json
Klebsiella pneumoniae C24b	573	json
Klebsiella pneumoniae CIP53153	573	json
Klebsiella pneumoniae D37100	573	json
Klebsiella pneumoniae DA32094	573	json
Klebsiella pneumoniae IR43	573	json
Klebsiella pneumoniae K187	573	json
Klebsiella pneumoniae KP-123	573	json
Klebsiella pneumoniae KP63	573	json
Klebsiella pneumoniae KPC	573	json
Klebsiella pneumoniae KPPR-1	573	json
Klebsiella pneumoniae LMG20218	573	json
Klebsiella pneumoniae MTCC3384	573	json
Klebsiella pneumoniae MTCC661	573	json
Klebsiella pneumoniae PMK1	573	json
Klebsiella pneumoniae ST11	573	json
Klebsiella pneumoniae ST147	573	json
Klebsiella pneumoniae ST15	573	json
Klebsiella pneumoniae ST258	573	json
Klebsiella pneumoniae ST340	573	json
Klebsiella pneumoniae ST395	573	json
Klebsiella pneumoniae UMM	573	json
Klebsiella pneumoniae WDCM00097	573	json
Labrenzia sp.. ac12	3229536	json
Lacticaseibacillus rhamnosus VB4	47715	json
Lactobacillus brevis TC50	1580	json
Lactobacillus pentosus BMOBR013	1589	json
Lactobacillus pentosus BMOBR061	1589	json
Lactobacillus plantarum RJ1	1590	json
Legionella micdadei tatlock	451	json
Legionella pneumophila KS79	91891	json
Limosilactobacillus fermentum KGC1601	1613	json
Listeria monocytogenes EGD-e	169963	json
Listeria monocytogenes NCTC11994	1639	json
Listeria monocytogenes Scott A	1027396	json
Micrococcus luteus ATCC 9341	378753	json
Morganella morganii UM573	582	json
Morganella morganii UM869	582	json
Mycobacterium abscessus ATCC 19977	561007	json
Mycobacterium abscessus BWH-C	1185650	json
Mycobacterium abscessus CIP104536T	1185650	json
Mycobacterium abscessus T49	1962118	json
Mycobacterium bovis BCG Pasteur	410289	json
Mycobacterium bovis C02214	1765	json
Mycobacterium canettii C02321	78331	json
Mycobacterium tuberculosis 130667	1773	json
Mycobacterium tuberculosis 130693	1773	json
Mycobacterium tuberculosis 130760	1765	json
Mycobacterium tuberculosis 131142	1773	json
Mycobacterium tuberculosis 132108	1448637	json
Mycobacterium tuberculosis 2012 500139	1773	json
Mycobacterium tuberculosis ATCC 27294	1773	json
Mycobacterium tuberculosis ATCC 35801	652616	json
Mycobacterium tuberculosis ATCC 35822	1773	json
Mycobacterium tuberculosis C00014838	1773	json
Mycobacterium tuberculosis EC378	1773	json
Mycobacterium tuberculosis FS304	1773	json
Mycobacterium tuberculosis H37Ra	419947	json
Mycobacterium tuberculosis H37Rv	83332	json
Mycobacterium tuberculosis H37RvMa	757418	json
Mycobacterium tuberculosis H417D mutant	1765	json
Mycobacterium tuberculosis M00001	1773	json
Mycobacterium tuberculosis M00003	1773	json
Mycobacterium tuberculosis M00004	1773	json
Mycobacterium tuberculosis M00005	1773	json
Mycobacterium tuberculosis M00011	1773	json
Mycobacterium tuberculosis M00017	1773	json
Mycobacterium tuberculosis M00019	1773	json
Mycobacterium tuberculosis M00020	1773	json
Mycobacterium tuberculosis MD24	1773	json
Mycobacterium tuberculosis MD52	1773	json
Mycobacterium tuberculosis MD54	1773	json
Mycobacterium tuberculosis MD55	1773	json
Mycobacterium tuberculosis MD96	1773	json
Mycobacterium tuberculosis MTTR11	1773	json
Mycobacterium tuberculosis MTTR13	1773	json
Mycobacterium tuberculosis MTTR14	1773	json
Mycobacterium tuberculosis MTTR18	1773	json
Mycobacterium tuberculosis MTTR19	1773	json
Mycobacterium tuberculosis MTTR2	1773	json
Mycobacterium tuberculosis MTTR28	1773	json
Mycobacterium tuberculosis MTTR3	1773	json
Mycobacterium tuberculosis MTTR5	1773	json
Mycobacterium tuberculosis MTTR6	1773	json
Mycobacterium tuberculosis MmpL3 F255L	1773	json
Mycobacterium tuberculosis MmpL3 G253E	1773	json
Mycobacterium tuberculosis MmpL3 Y252C	1773	json
Mycobacterium tuberculosis MmpL3 Y252S	1773	json
Mycobacterium tuberculosis N0008	1773	json
Mycobacterium tuberculosis R1093	1773	json
Mycobacterium tuberculosis R3027	1773	json
Mycobacterium tuberculosis R4254	1773	json
Mycobacterium tuberculosis S94A mutant	1765	json
Mycobacterium tuberculosis SAWC1125	1773	json
Mycobacterium tuberculosis SAWC2371	1773	json
Mycobacterium tuberculosis SAWC3200	1773	json
Mycobacterium tuberculosis SAWC3385	1773	json
Mycobacterium tuberculosis SAWC3388	1773	json
Mycobacterium tuberculosis SAWC3933	1773	json
Mycobacterium tuberculosis SAWC4046	1773	json
Mycobacterium tuberculosis SAWC4083	1773	json
Mycobacterium tuberculosis W91R mutant	1765	json
Neisseria gonorrhoeae A7536	485	json
Neisseria gonorrhoeae A7846	485	json
Neisseria gonorrhoeae A8806	485	json
Neisseria gonorrhoeae ALB0403	485	json
Neisseria gonorrhoeae FC428	485	json
Neisseria gonorrhoeae FC460	485	json
Neisseria gonorrhoeae GCGS0104	485	json
Neisseria gonorrhoeae GCGS0165	485	json
Neisseria gonorrhoeae GCGS0205	485	json
Neisseria gonorrhoeae GCGS0227	485	json
Neisseria gonorrhoeae GCGS0229	485	json
Neisseria gonorrhoeae GCGS0241	485	json
Neisseria gonorrhoeae GCGS0822	485	json
Neisseria gonorrhoeae GCGS0837	485	json
Neisseria gonorrhoeae GCGS0862	485	json
Neisseria gonorrhoeae GCGS0863	485	json
Neisseria gonorrhoeae GCGS0864	485	json
Neisseria gonorrhoeae GCGS0885	485	json
Neisseria gonorrhoeae GCGS0886	485	json
Neisseria gonorrhoeae GCGS0933	485	json
Neisseria gonorrhoeae GCGS0949	485	json
Neisseria gonorrhoeae GCGS0985	485	json
Neisseria gonorrhoeae GCGS0999	485	json
Neisseria gonorrhoeae GCGS1016	485	json
Neisseria gonorrhoeae GCGS126	485	json
Neisseria gonorrhoeae GK124	485	json
Neisseria gonorrhoeae H041	485	json
Neisseria gonorrhoeae MUNG19	485	json
Neisseria gonorrhoeae NGPT03002	485	json
Neisseria gonorrhoeae NGPT03003	485	json
Neisseria gonorrhoeae NGPT03004	485	json
Neisseria gonorrhoeae NGPT03005	485	json
Neisseria gonorrhoeae NGPT03006	485	json
Neisseria gonorrhoeae NGPT03007	485	json
Neisseria gonorrhoeae NGPT03009	485	json
Neisseria gonorrhoeae NGPT03010	485	json
Neisseria gonorrhoeae NGPT03011	485	json
Neisseria gonorrhoeae NGPT03012	485	json
Neisseria gonorrhoeae NGPT03013	485	json
Neisseria gonorrhoeae NGPT03014	485	json
Neisseria gonorrhoeae NGPT03015	485	json
Neisseria gonorrhoeae NGPT03016	485	json
Neisseria gonorrhoeae NGPT03017	485	json
Neisseria gonorrhoeae NGPT04001	485	json
Neisseria gonorrhoeae NGPT04002	485	json
Neisseria gonorrhoeae NGPT04003	485	json
Neisseria gonorrhoeae NGPT04004	485	json
Neisseria gonorrhoeae NGPT04007	485	json
Neisseria gonorrhoeae NGPT04008	485	json
Neisseria gonorrhoeae NGPT04009	485	json
Neisseria gonorrhoeae NGPT04012	485	json
Neisseria gonorrhoeae NGPT04015	485	json
Neisseria gonorrhoeae NGPT05002	485	json
Neisseria gonorrhoeae NGPT05005	485	json
Neisseria gonorrhoeae NGPT05006	485	json
Neisseria gonorrhoeae NGPT05007	485	json
Neisseria gonorrhoeae NGPT05008	485	json
Neisseria gonorrhoeae NGPT05009	485	json
Neisseria gonorrhoeae NGPT05010	485	json
Neisseria gonorrhoeae NGPT05012	485	json
Neisseria gonorrhoeae NGPT05013	485	json
Neisseria gonorrhoeae NGPT05014	485	json
Neisseria gonorrhoeae NGPT05015	485	json
Neisseria gonorrhoeae NGPT05018	485	json
Neisseria gonorrhoeae NGPT05019	485	json
Neisseria gonorrhoeae NGPT05020	485	json
Neisseria gonorrhoeae NGPT05021	485	json
Neisseria gonorrhoeae NGPT05022	485	json
Neisseria gonorrhoeae NGPT05023	485	json
Neisseria gonorrhoeae NGPT05024	485	json
Nitratireductor sp.. ac15	3229537	json
Orientia tsutsugamushi AFSC4	784	json
Orientia tsutsugamushi Karp	1359185	json
Paenibacillus thiaminolyticus PATH554	49283	json
Pediococcus acidilactici BMOBR041	1254	json
Plasmodium falciparum 3D7	36329	json
Plasmodium falciparum NF54-HGL	5843	json
Plasmodium falciparum NF54-HGL-hDHFR	5843	json
Proteus mirabilis ATCC 29906	525369	json
Proteus mirabilis LHPm1	584	json
Proteus vulgaris CIP104989	585	json
Providencia rettgeri NCTC7475	587	json
Providencia stuartii ATCC 29916	588	json
Pseudomonas aeruginosa AR-0054	287	json
Pseudomonas aeruginosa AR-0064	287	json
Pseudomonas aeruginosa AR-0100	287	json
Pseudomonas aeruginosa ATCC 15442	1424337	json
Pseudomonas aeruginosa ATCC 27853	287	json
Pseudomonas aeruginosa PA-011	287	json
Pseudomonas aeruginosa PA-032	287	json
Pseudomonas aeruginosa PA-038	287	json
Pseudomonas aeruginosa PA-041	287	json
Pseudomonas aeruginosa PA124	287	json
Pseudomonas aeruginosa PAO1	208964	json
Pseudomonas aeruginosa PBIO712	287	json
Pseudomonas aeruginosa PBIO724	287	json
Pseudomonas aeruginosa ST111	287	json
Pseudomonas aeruginosa ST17	287	json
Pseudomonas aeruginosa ST235	287	json
Pseudomonas aeruginosa ST244	287	json
Pseudomonas aeruginosa ST274	287	json
Pseudomonas aeruginosa ST395	287	json
Pseudomonas aeruginosa mucoid strain	287	json
Pseudomonas protegens Pf-5	220664	json
Saccharopolyspora erythraea rif12	1836	json
Saccharopolyspora erythraea rif3	1836	json
Saccharopolyspora erythraea rif4	1836	json
Saccharopolyspora erythraea rif5	1836	json
Saccharopolyspora erythraea rif6	1836	json
Saccharopolyspora erythraea rif9	1836	json
Salmonella enterica AUSMDU00032900	28901	json
Salmonella enterica AUSMDU00032924	28901	json
Salmonella enterica AUSMDU00032927	28901	json
Salmonella enterica AUSMDU00032928	28901	json
Salmonella enterica AUSMDU00032931	28901	json
Salmonella enterica AUSMDU00032932	28901	json
Salmonella enterica AUSMDU00032933	28901	json
Salmonella enterica AUSMDU00032934	28901	json
Salmonella enterica AUSMDU00032936	28901	json
Salmonella enterica AUSMDU00032946	28901	json
Salmonella enterica AUSMDU00032953	28901	json
Salmonella enterica AUSMDU00032955	28901	json
