NormalizedSubject	TaxID	Source
Escherichia coli ARC2687	562.0	ena
Escherichia coli ARC3627	562.0	ena
Escherichia coli ATCC 10536	562.0	ena
Escherichia coli ATCC 25922	562.0	ena
Escherichia coli ATCC 35150	562.0	ena
Escherichia coli ATCC 35218	562.0	ena
Escherichia coli ATCC 8739	562.0	ena
Escherichia coli ATCC 9637	562.0	ena
Escherichia coli BR1E	562.0	ena
Escherichia coli BR1F	562.0	ena
Escherichia coli BW25113	562.0	ena
Escherichia coli C031	562.0	ena
Escherichia coli C047	562.0	ena
Escherichia coli CCM3988	562.0	json
Escherichia coli CDC-0452	562.0	ena
Escherichia coli CGSC5073	562.0	ena
Escherichia coli CH1	562.0	ena
Escherichia coli CIP1	562.0	json
Escherichia coli D030	562.0	ena
Escherichia coli D032	562.0	ena
Escherichia coli DA44554	562.0	ena
Escherichia coli DA45430	562.0	ena
Escherichia coli DA46661	562.0	ena
Escherichia coli DA47114	562.0	ena
Escherichia coli DA63164	562.0	ena
Escherichia coli EC118	562.0	ena
Escherichia coli EC122	562.0	ena
Escherichia coli EC123	562.0	ena
Escherichia coli EC125	562.0	ena
Escherichia coli EC127	562.0	ena
Escherichia coli EC1552	562.0	ena
Escherichia coli EC958	562.0	ena
Escherichia coli ERR1878189	562.0	ena
Escherichia coli ERR1878190	562.0	ena
Escherichia coli ERR2137881	562.0	ena
Escherichia coli ERR2137921	562.0	ena
Escherichia coli ERR2137923	562.0	ena
Escherichia coli ERS357195	562.0	ena
Escherichia coli ERS357668	562.0	ena
Escherichia coli ERS357718	562.0	ena
Escherichia coli ERS357811	562.0	ena
Escherichia coli ERS357812	562.0	ena
Escherichia coli ERS357813	562.0	ena
Escherichia coli ERS357814	562.0	ena
Escherichia coli ERS357815	562.0	ena
Escherichia coli ERS357816	562.0	ena
Escherichia coli ERS357843	562.0	ena
Escherichia coli ERS357845	562.0	ena
Escherichia coli GG 14-6 Cef	562.0	ena
Escherichia coli H17	562.0	ena
Escherichia coli HAM5E	562.0	ena
Escherichia coli IR57	562.0	ena
Escherichia coli J53	562.0	ena
Escherichia coli JW0452	562.0	ena
Escherichia coli K-12	562.0	ena
Escherichia coli LMG8223	562.0	json
Escherichia coli LW53	562.0	ena
Escherichia coli LW54	562.0	ena
Escherichia coli LW55	562.0	ena
Escherichia coli LW56	562.0	ena
Escherichia coli LW57	562.0	ena
Escherichia coli LW58	562.0	ena
Escherichia coli LW59	562.0	ena
Escherichia coli MCR1	562.0	ena
Escherichia coli MCR2	562.0	ena
Escherichia coli MG1655	562.0	ena
Escherichia coli MG1656	562.0	ena
Escherichia coli MTCC118	562.0	ena
Escherichia coli MTCC739	562.0	json
Escherichia coli NCTC10418	562.0	json
Escherichia coli NCTC12241	562.0	json
Escherichia coli O78	562.0	ena
Escherichia coli PBIO1937	562.0	ena
Escherichia coli PBIO1939	562.0	ena
Escherichia coli PBIO1940	562.0	ena
Escherichia coli PBIO1941	562.0	ena
Escherichia coli PBIO1942	562.0	ena
Escherichia coli PBIO1943	562.0	ena
Escherichia coli PBIO1944	562.0	ena
Escherichia coli PBIO1945	562.0	ena
Escherichia coli PBIO1946	562.0	ena
Escherichia coli PBIO1947	562.0	ena
Escherichia coli PBIO1948	562.0	ena
Escherichia coli PBIO1949	562.0	ena
Escherichia coli PBIO711	562.0	ena
Escherichia coli PCM2857	562.0	json
Escherichia coli PK-3225	562.0	ena
Escherichia coli RL138	562.0	ena
Escherichia coli S117	562.0	ena
Escherichia coli SKM18	562.0	ena
Escherichia coli ST10	562.0	ena
Escherichia coli ST101	562.0	ena
Escherichia coli ST1196	562.0	ena
Escherichia coli ST131	562.0	ena
Escherichia coli ST155	562.0	ena
Escherichia coli ST156	562.0	ena
Escherichia coli ST162	562.0	ena
Escherichia coli ST167	562.0	ena
Escherichia coli ST340	562.0	ena
Escherichia coli ST405	562.0	ena
Escherichia coli ST410	562.0	ena
Escherichia coli ST648	562.0	ena
Escherichia coli TJ249	562.0	ena
Escherichia coli TKC182 recipient 	562.0	json
Escherichia coli TW100	562.0	json
Escherichia coli TW140	562.0	json
Escherichia coli TW176	562.0	json
Escherichia coli TW236	562.0	json
Escherichia coli TW99	562.0	json
Escherichia coli WDCM00013	562.0	json
Haemophilus influenzae BLR1	727.0	ena
Haemophilus influenzae BLR2	727.0	ena
Haemophilus influenzae BLR3	727.0	ena
Haemophilus influenzae BLR5	727.0	ena
Haemophilus influenzae BLR6	727.0	ena
Haemophilus influenzae BLR8	727.0	ena
Haemophilus influenzae MSC02022	727.0	ena
Haemophilus influenzae MSC02070	727.0	ena
Haemophilus influenzae MSC02149	727.0	ena
Haemophilus influenzae MSC07169	727.0	ena
Haemophilus influenzae MSC07237	727.0	ena
Haemophilus influenzae MSC07771	727.0	ena
Helicobacter pylori ATCC 43504	210.0	ena
Helicobacter pylori KH0001	210.0	ena
Helicobacter pylori KH0012	210.0	ena
Helicobacter pylori KH0016	210.0	ena
Helicobacter pylori KH0022	210.0	ena
Helicobacter pylori KH0025	210.0	ena
Helicobacter pylori KH0031	210.0	ena
Helicobacter pylori KH0032	210.0	ena
Helicobacter pylori KH0033	210.0	ena
Helicobacter pylori KH0040	210.0	ena
