rnc rpsO 0.951
rnc rpsO 0.955
rnc rpsQ 0.696
rnc rpsQ 0.779
rne rpsO 0.836
rng rpsO 0.465
rng rpsS 0.501
rplA rplB 0.99
rplA rplB 0.994
rplA rplB 0.995
rplA rplB 0.996
rplA rplB 0.998
rplA rplB 0.999
rplA rplC 0.992
rplA rplC 0.994
rplA rplC 0.996
rplA rplC 0.997
rplA rplC 0.998
rplA rplC 0.999
rplA rplD 0.984
rplA rplD 0.992
rplA rplD 0.997
rplA rplD 0.998
rplA rplD 0.999
rplA rplE 0.997
rplA rplE 0.998
rplA rplE 0.999
rplA rplF 0.992
rplA rplF 0.995
rplA rplF 0.996
rplA rplF 0.997
rplA rplF 0.998
rplA rplF 0.999
rplA rplI 0.987
rplA rplI 0.988
rplA rplI 0.991
rplA rplI 0.992
rplA rplI 0.994
rplA rplI 0.995
rplA rplI 0.996
rplA rplI 0.998
rplA rplI 0.999
rplA rplJ 0.999
rplA rplO 0.993
rplA rplO 0.994
rplA rplO 0.996
rplA rplO 0.997
rplA rplO 0.998
rplA rplO 0.999
rplA rplP 0.989
rplA rplP 0.995
rplA rplP 0.996
rplA rplP 0.997
rplA rplP 0.998
rplA rplP 0.999
rplA rplT 0.988
rplA rplT 0.99
rplA rplT 0.994
rplA rplT 0.995
rplA rplT 0.997
rplA rplT 0.999
rplA rplU 0.987
rplA rplU 0.99
rplA rplU 0.992
rplA rplU 0.993
rplA rplU 0.995
rplA rplU 0.996
rplA rplU 0.997
rplA rplU 0.999
rplA rplV 0.997
rplA rplV 0.998
rplA rplV 0.999
rplA rplW 0.996
rplA rplW 0.997
rplA rplW 0.998
rplA rplW 0.999
rplA rplX 0.992
rplA rplX 0.995
rplA rplX 0.996
rplA rplX 0.998
rplA rplX 0.999
rplA rpmE 0.931
rplA rpmE 0.951
rplA rpmE 0.987
rplA rpmE 0.99
rplA rpsC 0.994
rplA rpsC 0.995
rplA rpsC 0.996
rplA rpsC 0.998
rplA rpsC 0.999
rplA rpsD 0.987
rplA rpsD 0.99
rplA rpsD 0.993
rplA rpsD 0.995
rplA rpsD 0.997
rplA rpsD 0.998
rplA rpsD 0.999
rplA rpsE 0.991
rplA rpsE 0.994
rplA rpsE 0.995
rplA rpsE 0.996
rplA rpsE 0.997
rplA rpsE 0.998
rplA rpsE 0.999
rplA rpsG 0.99
rplA rpsG 0.993
rplA rpsG 0.996
rplA rpsG 0.997
rplA rpsG 0.999
rplA rpsH 0.995
rplA rpsH 0.996
rplA rpsH 0.997
rplA rpsH 0.998
rplA rpsH 0.999
rplA rpsK 0.987
rplA rpsK 0.993
rplA rpsK 0.994
rplA rpsK 0.995
rplA rpsK 0.997
rplA rpsK 0.999
rplA rpsL 0.991
rplA rpsL 0.992
rplA rpsL 0.993
rplA rpsL 0.994
rplA rpsL 0.997
rplA rpsL 0.999
rplA rpsM 0.99
rplA rpsM 0.991
rplA rpsM 0.996
rplA rpsM 0.997
rplA rpsM 0.998
rplA rpsM 0.999
rplA rpsN 0.954
rplA rpsN 0.987
rplA rpsN 0.988
rplA rpsN 0.992
rplA rpsN 0.999
rplA rpsO 0.989
rplA rpsO 0.99
rplA rpsO 0.992
rplA rpsO 0.994
rplA rpsO 0.995
rplA rpsO 0.996
rplA rpsO 0.997
rplA rpsO 0.998
rplA rpsQ 0.99
rplA rpsQ 0.993
rplA rpsQ 0.994
rplA rpsQ 0.995
rplA rpsQ 0.998
rplA rpsQ 0.999
rplA rpsS 0.987
rplA rpsS 0.991
rplA rpsS 0.994
rplA rpsS 0.995
rplA rpsS 0.996
rplA rpsS 0.997
rplA rpsS 0.998
rplA rpsS 0.999
rplA smrB 0.608
rplA smrB 0.8
rplA typA 0.685
rplA typA 0.764
rplA typA 0.766
rplA typA 0.825
rplA vmlR 0.938
rplB rplC 0.999
rplB rplD 0.998
rplB rplD 0.999
rplB rplE 0.998
rplB rplE 0.999
rplB rplF 0.998
rplB rplF 0.999
rplB rplI 0.986
rplB rplI 0.99
rplB rplI 0.991
rplB rplI 0.996
rplB rplI 0.997
rplB rplI 0.999
rplB rplJ 0.999
rplB rplO 0.995
rplB rplO 0.996
rplB rplO 0.997
rplB rplO 0.998
rplB rplO 0.999
rplB rplP 0.999
rplB rplT 0.986
rplB rplT 0.988
rplB rplT 0.994
rplB rplT 0.995
rplB rplT 0.996
rplB rplT 0.998
rplB rplT 0.999
rplB rplU 0.986
rplB rplU 0.99
rplB rplU 0.991
rplB rplU 0.995
rplB rplU 0.996
rplB rplU 0.997
rplB rplU 0.998
rplB rplV 0.999
rplB rplW 0.997
rplB rplW 0.998
rplB rplW 0.999
rplB rplX 0.993
rplB rplX 0.995
rplB rplX 0.996
rplB rplX 0.998
rplB rplX 0.999
rplB rpmE 0.898
rplB rpmE 0.917
rplB rpsC 0.998
rplB rpsC 0.999
rplB rpsD 0.994
rplB rpsD 0.996
rplB rpsD 0.997
rplB rpsD 0.998
rplB rpsD 0.999
rplB rpsE 0.997
rplB rpsE 0.998
rplB rpsE 0.999
rplB rpsG 0.993
rplB rpsG 0.996
rplB rpsG 0.997
rplB rpsG 0.999
rplB rpsH 0.997
rplB rpsH 0.998
rplB rpsH 0.999
rplB rpsK 0.996
rplB rpsK 0.997
rplB rpsK 0.998
rplB rpsK 0.999
rplB rpsL 0.996
rplB rpsL 0.997
rplB rpsL 0.998
rplB rpsL 0.999
rplB rpsM 0.996
rplB rpsM 0.997
rplB rpsM 0.998
rplB rpsM 0.999
rplB rpsN 0.968
rplB rpsN 0.993
rplB rpsN 0.995
rplB rpsN 0.996
rplB rpsN 0.999
rplB rpsO 0.982
rplB rpsO 0.983
rplB rpsO 0.985
rplB rpsO 0.991
rplB rpsO 0.993
rplB rpsO 0.997
rplB rpsO 0.998
rplB rpsQ 0.996
rplB rpsQ 0.997
rplB rpsQ 0.998
rplB rpsQ 0.999
rplB rpsS 0.999
rplB smrB 0.608
rplB smrB 0.8
rplB typA 0.506
rplB typA 0.589
rplB typA 0.624
rplB vmlR 0.937
rplB yjgA 0.612
rplC rplD 0.999
rplC rplE 0.998
rplC rplE 0.999
rplC rplF 0.999
rplC rplI 0.986
rplC rplI 0.99
rplC rplI 0.991
rplC rplI 0.996
rplC rplI 0.997
rplC rplI 0.999
rplC rplJ 0.999
rplC rplO 0.999
rplC rplP 0.999
rplC rplT 0.988
rplC rplT 0.99
rplC rplT 0.991
rplC rplT 0.994
rplC rplT 0.995
rplC rplT 0.997
rplC rplT 0.999
rplC rplU 0.986
rplC rplU 0.989
rplC rplU 0.99
rplC rplU 0.991
rplC rplU 0.995
rplC rplU 0.997
rplC rplU 0.998
rplC rplU 0.999
rplC rplV 0.999
rplC rplW 0.999
rplC rplX 0.996
rplC rplX 0.997
rplC rplX 0.998
