TLO13 TLO5 0.544
TLO16 TLO5 0.586
TLO16 TLO7 0.663
TLO5 TLO7 0.677
VMA11 VMA7 0.996
ZCF14 ZCF38 0.534
acm sgrA 0.769
acpP fabZ 0.826
acpP fabZ 0.871
acpP fabZ 0.949
acpP fabZ 0.956
acpP fabZ 0.983
acpP hycF 0.854
acpP infC 0.633
acpP infC 0.665
acpP lpxA 0.479
acpP lpxB 0.423
acpP lpxC 0.467
acpP lpxD 0.789
acpP lpxD 0.825
acpP nuoI 0.734
acpP nuoM 0.977
acpP pepI 0.547
acpP petA 0.729
acpP yqeH 0.667
albB albG 0.977
arnA arnB 0.997
arnA arnB 0.999
arnA arnD 0.993
arnA wcaJ 0.78
arnB arnD 0.906
arnB lpxD 0.429
arnB wcaJ 0.944
artJ glnH 0.683
asa1 gelE 0.83
bcaP yhdH 0.569
bcaP yhjC 0.505
bcaP yocS 0.623
bcsG ldrD 0.508
bdbD ccdA 0.933
bdbD resB 0.467
bdbD yneN 0.666
bhlA xhlA 0.846
bhlA xhlB 0.758
bhlA ybdO 0.426
bofA spoIIIAF 0.684
bofA spoIIIAG 0.596
bofA spoIIIAH 0.903
bofA spoIIP 0.924
bofA spoIIQ 0.881
bofA spoIVFB 0.996
bofA yabQ 0.815
bofA yjcA 0.4
bofA ykvU 0.574
bofA ypeB 0.585
bofA yqfD 0.628
bofA yqfX 0.763
bofA yqhR 0.679
bofA yshB 0.425
bofA ytrI 0.682
cccA qcrA 0.986
cccA qcrC 0.994
cccA resB 0.816
cccA sdhC 0.551
cccA ydjH 0.728
cccA yhfW 0.926
cccA ylaH 0.76
cccA yneK 0.768
cccA yqgY 0.813
cccA yqzF 0.773
cccA ytpI 0.691
cccA yuiB 0.772
cccB qcrA 0.989
cccB qcrC 0.996
cccB resB 0.842
cccB sdhC 0.551
cccB sdhC 0.679
cccB ydjH 0.728
cccB yhfW 0.926
cccB ylaH 0.649
cccB yneK 0.771
cccB yqgY 0.765
cccB yqzF 0.764
cccB yuiB 0.749
ccdA hemY 0.491
ccdA resB 0.995
ccdA yneJ 0.832
ccdA yneN 0.993
citT gltA 0.493
comGD comGE 0.999
comGD nucA 0.775
comGE nucA 0.798
cotX yycH 0.518
csbA yozB 0.424
cvpA hflK 0.548
cvpA lepB 0.424
cvpA lepB 0.481
cydX nuoG 0.499
cydX nuoM 0.499
cydX ybgE 0.834
cydX ynhF 0.997
cysP ytvB 0.681
degS liaF 0.537
degS sipW 0.688
desK liaF 0.603
desK yvfT 0.928
divIC dynA 0.658
divIC ecsB 0.476
divIC rseP 0.657
divIC rsiX 0.408
divIC spoIIIE 0.716
divIC xpaC 0.464
divIC yabQ 0.843
divIC ydiL 0.541
divIC yfhP 0.474
divIC yhaH 0.452
divIC yrrS 0.592
divIC yshB 0.502
divIC ytxG 0.528
divIC ywzB 0.528
divIC yycH 0.528
dltE ywzH 0.487
dynA resB 0.612
dynA sdhC 0.63
dynA ydjH 0.737
dynA yneK 0.711
dynA yqgY 0.531
dynA yqzF 0.561
dynA yuiB 0.507
ecnA ecnB 0.903
ecnB mlaA 0.433
ecsB rseP 0.778
ecsB walH 0.645
ecsB yhgE 0.443
ecsB yshB 0.442
ecsB ywzB 0.581
epsC epsG 0.952
epsC epsL 0.997
epsC sipW 0.763
epsC tuaE 0.703
epsC ykrP 0.427
epsG epsL 0.968
epsG sipW 0.625
epsL sipW 0.741
epsL tuaE 0.679
epsL ykrP 0.471
essB isdC 0.662
essB srtB 0.596
essD rzoD 0.898
fabHB fabZ 0.968
fabHB plsC 0.787
fabHB yhfC 0.849
fabZ fadD 0.666
fabZ glmU 0.415
fabZ lpxA 0.995
fabZ lpxA 0.997
fabZ lpxA 0.999
fabZ lpxB 0.913
fabZ lpxB 0.928
fabZ lpxB 0.983
fabZ lpxC 0.945
fabZ lpxC 0.946
