NormalizedSubject	TaxID	Status
Klebsiella pneumoniae ATCC 10031	573.0	ok
Klebsiella pneumoniae ATCC 11296	573.0	ok
Klebsiella pneumoniae ATCC 13883	573.0	ok
Klebsiella pneumoniae ATCC 700603	573.0	ok
Klebsiella pneumoniae ATCC BAA 1705	573.0	ok
Klebsiella pneumoniae ATCC BAA-1705	573.0	ok
Klebsiella pneumoniae B64	573.0	ok
Klebsiella pneumoniae BAA-1705	573.0	ok
Klebsiella pneumoniae BAA-2146	573.0	ok
Klebsiella pneumoniae BKQ2KD	573.0	ok
Klebsiella pneumoniae C24b	573.0	ok
Klebsiella pneumoniae D37100	573.0	ok
Klebsiella pneumoniae DA32094	573.0	ok
Klebsiella pneumoniae IR43	573.0	ok
Klebsiella pneumoniae K187	573.0	ok
Klebsiella pneumoniae KP-123	573.0	ok
Klebsiella pneumoniae KP63	573.0	ok
Klebsiella pneumoniae KPPR-1	573.0	ok
Klebsiella pneumoniae MTCC3384	573.0	ok
Klebsiella pneumoniae PMK1	573.0	ok
Klebsiella pneumoniae ST11	573.0	ok
Klebsiella pneumoniae ST147	573.0	ok
Klebsiella pneumoniae ST15	573.0	ok
Klebsiella pneumoniae ST258	573.0	ok
Klebsiella pneumoniae ST340	573.0	ok
Klebsiella pneumoniae ST395	573.0	ok
Klebsiella pneumoniae UMM	573.0	ok
Labrenzia sp.. ac12		fail
Lacticaseibacillus rhamnosus VB4	47715.0	ok
Lactobacillus brevis TC50		fail
Lactobacillus pentosus BMOBR013		fail
Lactobacillus pentosus BMOBR061		fail
Lactobacillus plantarum RJ1		fail
Legionella micdadei tatlock	451.0	ok
Legionella pneumophila KS79	446.0	ok
Limosilactobacillus fermentum KGC1601	1613.0	ok
Listeria monocytogenes EGD-e	169963.0	ok
Listeria monocytogenes Scott A	1639.0	ok
Micrococcus luteus ATCC 9341	1270.0	ok
Morganella morganii UM573	582.0	ok
Morganella morganii UM869	582.0	ok
Mycobacterium abscessus ATCC 19977		fail
Mycobacterium abscessus BWH-C		fail
Mycobacterium abscessus CIP104536T		fail
Mycobacterium abscessus T49		fail
Mycobacterium bovis BCG Pasteur		fail
Mycobacterium bovis C02214		fail
Mycobacterium canettii C02321		fail
Mycobacterium tuberculosis 130667	1773.0	ok
Mycobacterium tuberculosis 130693	1773.0	ok
Mycobacterium tuberculosis 130760	1773.0	ok
Mycobacterium tuberculosis 131142	1773.0	ok
Mycobacterium tuberculosis 132108	1773.0	ok
